epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2226.45,1.49901,0.72325,0.00206,0.83075,0.41228,0.48345,0.22376,2.08184,2.5914,0.00324,0.0011882,0.0011882,0.0011882
43,2277.55,1.52131,0.78301,0.00207,0.87539,0.51352,0.60056,0.31,1.91606,1.95245,0.00297,0.0011684,0.0011684,0.0011684
44,2328.43,1.48992,0.75132,0.00197,0.7352,0.54678,0.59676,0.30052,2.011,1.64671,0.00317,0.0011486,0.0011486,0.0011486
45,2379.38,1.5185,0.74858,0.00206,0.82684,0.46075,0.52555,0.25058,1.99588,2.34614,0.00313,0.0011288,0.0011288,0.0011288
46,2430.22,1.5328,0.76942,0.00203,0.89894,0.36412,0.46449,0.2497,1.94725,3.00473,0.00298,0.001109,0.001109,0.001109
47,2481.14,1.50568,0.75438,0.00206,0.81089,0.37135,0.44741,0.23321,1.95133,3.09254,0.00298,0.0010892,0.0010892,0.0010892
48,2532,1.47738,0.71942,0.00198,0.8318,0.48538,0.56681,0.29587,1.93939,2.17321,0.00297,0.0010694,0.0010694,0.0010694
49,2582.38,1.48709,0.73073,0.00203,0.86024,0.38304,0.45717,0.2464,1.94971,2.87122,0.00303,0.0010496,0.0010496,0.0010496
50,2632.91,1.4874,0.76931,0.00197,0.80052,0.47953,0.56413,0.28652,1.96202,2.10688,0.00313,0.0010298,0.0010298,0.0010298
51,2683.65,1.4559,0.69514,0.00196,0.78205,0.46491,0.54474,0.28571,1.93496,2.21858,0.00298,0.00101,0.00101,0.00101
52,2734.41,1.45982,0.73437,0.00193,0.81248,0.42982,0.47094,0.23382,2.04675,2.68431,0.0032,0.0009902,0.0009902,0.0009902
53,2784.95,1.4183,0.65379,0.0019,0.82078,0.45029,0.51669,0.26578,1.92135,2.44491,0.00302,0.0009704,0.0009704,0.0009704
54,2835.46,1.46808,0.69498,0.00192,0.84373,0.56832,0.61601,0.30687,1.98554,1.68478,0.00309,0.0009506,0.0009506,0.0009506
55,2885.55,1.44718,0.71448,0.00185,0.79992,0.51437,0.56542,0.28887,1.97916,2.04744,0.00307,0.0009308,0.0009308,0.0009308
56,2935.88,1.43896,0.70113,0.00195,0.80752,0.52047,0.58313,0.28583,2.00155,1.97079,0.00309,0.000911,0.000911,0.000911
57,2986.64,1.38727,0.64968,0.00184,0.82539,0.46491,0.53531,0.26922,1.97832,2.42561,0.00304,0.0008912,0.0008912,0.0008912
58,3037.35,1.44172,0.70035,0.00193,0.80356,0.55263,0.62035,0.32747,1.88066,1.80766,0.00285,0.0008714,0.0008714,0.0008714
59,3087.97,1.45821,0.67694,0.00198,0.87508,0.53257,0.62951,0.32194,1.94133,1.74164,0.00295,0.0008516,0.0008516,0.0008516
60,3138.6,1.43737,0.67462,0.00188,0.85473,0.45614,0.53573,0.27983,1.93279,2.4334,0.00304,0.0008318,0.0008318,0.0008318
61,3189.18,1.44023,0.65165,0.00191,0.81593,0.54094,0.59993,0.29741,2.00058,1.86744,0.0031,0.000812,0.000812,0.000812
