epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10496.7,1.12467,0.73584,0.77817,0.72102,0.45906,0.53054,0.26188,2.02895,2.13572,1.21137,0.0014588,0.0014588,0.0014588
43,10743.6,1.09441,0.67196,0.75518,0.72734,0.5,0.56769,0.27827,2.03127,2.07089,1.22284,0.0014456,0.0014456,0.0014456
44,10990.7,1.13615,0.67649,0.78085,0.77964,0.39312,0.46939,0.2288,2.04068,2.89621,1.21511,0.0014324,0.0014324,0.0014324
45,11237.3,1.08176,0.6793,0.74243,0.81787,0.39474,0.4691,0.23374,1.9624,2.75954,1.18054,0.0014192,0.0014192,0.0014192
46,11484.3,1.08282,0.66437,0.75352,0.76225,0.40311,0.45933,0.23786,1.96541,2.75475,1.18966,0.001406,0.001406,0.001406
47,11731.8,1.12512,0.67024,0.77592,0.79791,0.35965,0.44299,0.22945,2.05675,3.24033,1.22087,0.0013928,0.0013928,0.0013928
48,11979.1,1.1299,0.69977,0.78442,0.65913,0.32164,0.35351,0.1899,1.96269,3.27714,1.1803,0.0013796,0.0013796,0.0013796
49,12225.8,1.08791,0.62585,0.75072,0.74258,0.40351,0.48462,0.24557,1.97401,2.57324,1.18662,0.0013664,0.0013664,0.0013664
50,12472.4,1.06546,0.62608,0.73477,0.76103,0.48538,0.55509,0.27079,1.97632,2.13934,1.19373,0.0013532,0.0013532,0.0013532
51,12719.6,1.08631,0.66289,0.75436,0.7448,0.42982,0.51189,0.25992,2.00964,2.4984,1.22858,0.00134,0.00134,0.00134
52,12966.5,1.05644,0.64423,0.74654,0.70473,0.52339,0.57152,0.27848,2.00488,2.09115,1.21861,0.0013268,0.0013268,0.0013268
53,13213.5,1.09677,0.65059,0.75302,0.70579,0.35965,0.41944,0.21332,1.93972,2.98693,1.18674,0.0013136,0.0013136,0.0013136
54,13459.7,1.00224,0.6108,0.70684,0.76604,0.46199,0.50994,0.25519,1.99161,2.40479,1.20585,0.0013004,0.0013004,0.0013004
55,13707.1,1.07307,0.65819,0.75285,0.65842,0.36636,0.41189,0.19587,2.17974,2.8778,1.2624,0.0012872,0.0012872,0.0012872
56,13954.2,1.06412,0.63268,0.75518,0.74638,0.38889,0.43417,0.2227,1.94773,3.08932,1.18385,0.001274,0.001274,0.001274
57,14201.2,1.06392,0.63608,0.73917,0.65392,0.33041,0.39416,0.19802,1.97718,3.29804,1.17975,0.0012608,0.0012608,0.0012608
58,14448.5,1.04783,0.6301,0.75241,0.63583,0.36842,0.41933,0.20193,2.04331,2.92729,1.20943,0.0012476,0.0012476,0.0012476
59,14695.5,1.03573,0.60246,0.72938,0.69411,0.32512,0.40627,0.20769,1.94794,3.01432,1.17549,0.0012344,0.0012344,0.0012344
