epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5655.71,1.31792,0.66214,0.00518,0.60572,0.47674,0.48897,0.27512,1.9142,2.13276,0.00928,0.0011882,0.0011882,0.0011882
43,5781.92,1.32218,0.67067,0.00515,0.74882,0.45814,0.52383,0.29923,1.84449,2.1486,0.00859,0.0011684,0.0011684,0.0011684
44,5908.81,1.32868,0.67756,0.0053,0.65618,0.50233,0.54065,0.30601,1.91221,2.07887,0.00921,0.0011486,0.0011486,0.0011486
45,6035.44,1.29867,0.66335,0.00501,0.66061,0.46625,0.52744,0.29585,1.89816,2.04266,0.009,0.0011288,0.0011288,0.0011288
46,6160.52,1.31885,0.64087,0.00513,0.69,0.46047,0.51563,0.29835,1.96501,2.12119,0.00943,0.001109,0.001109,0.001109
47,6288.82,1.27724,0.65624,0.005,0.65979,0.39689,0.43205,0.23713,2.10274,2.46656,0.01022,0.0010892,0.0010892,0.0010892
48,6415.77,1.29039,0.6573,0.00497,0.61275,0.39302,0.44114,0.24897,2.04899,2.3056,0.00992,0.0010694,0.0010694,0.0010694
49,6541.41,1.26115,0.59646,0.00493,0.64417,0.48836,0.53666,0.30952,1.97142,1.99104,0.0095,0.0010496,0.0010496,0.0010496
50,6668.53,1.26529,0.59979,0.00491,0.66559,0.38882,0.44911,0.26249,1.92474,2.33231,0.0092,0.0010298,0.0010298,0.0010298
51,6795.68,1.2633,0.61067,0.0049,0.78705,0.45116,0.55467,0.32605,1.85663,1.94167,0.00876,0.00101,0.00101,0.00101
52,6919.45,1.25706,0.59264,0.00486,0.72833,0.44891,0.51173,0.30013,1.81616,2.16717,0.00857,0.0009902,0.0009902,0.0009902
53,7043.26,1.24558,0.5976,0.0048,0.65635,0.46744,0.50077,0.28406,1.87204,2.22174,0.00893,0.0009704,0.0009704,0.0009704
54,7168.14,1.23679,0.63208,0.00482,0.64215,0.51395,0.54798,0.31614,1.7935,2.11208,0.00839,0.0009506,0.0009506,0.0009506
55,7292.13,1.24557,0.60119,0.00484,0.74227,0.50902,0.57545,0.33933,1.7231,1.96154,0.00806,0.0009308,0.0009308,0.0009308
56,7416.12,1.22849,0.57086,0.00482,0.75633,0.4814,0.54252,0.31473,1.8547,2.00076,0.00884,0.000911,0.000911,0.000911
57,7540.08,1.22517,0.55274,0.00475,0.71794,0.46279,0.53478,0.30323,1.91817,2.02069,0.00926,0.0008912,0.0008912,0.0008912
58,7665.13,1.23717,0.54719,0.00478,0.81082,0.44651,0.55435,0.31801,1.87011,1.94191,0.00879,0.0008714,0.0008714,0.0008714
59,7790.18,1.21891,0.57955,0.0047,0.76024,0.57907,0.63545,0.37583,1.72482,1.73691,0.00809,0.0008516,0.0008516,0.0008516
60,7914.83,1.21928,0.57783,0.00468,0.67336,0.4814,0.53673,0.31267,1.86703,2.17179,0.00885,0.0008318,0.0008318,0.0008318
61,8039.23,1.22655,0.5461,0.00476,0.72832,0.51163,0.5776,0.33548,1.8337,1.90359,0.00868,0.000812,0.000812,0.000812
62,8159.42,1.19973,0.54029,0.00471,0.72385,0.53035,0.57531,0.33008,1.90512,1.92754,0.00912,0.0007922,0.0007922,0.0007922
63,8278.81,1.18887,0.54427,0.00459,0.77186,0.47995,0.56782,0.32619,1.87953,1.99296,0.00887,0.0007724,0.0007724,0.0007724
64,8398.83,1.21536,0.56851,0.00466,0.80615,0.47674,0.56913,0.32188,1.87556,2.01452,0.00885,0.0007526,0.0007526,0.0007526
65,8523.86,1.18567,0.528,0.00457,0.75337,0.45581,0.51253,0.29833,1.96299,2.18346,0.00928,0.0007328,0.0007328,0.0007328
66,8649.17,1.16925,0.50957,0.00446,0.69921,0.52978,0.57588,0.3381,1.83788,2.04183,0.0087,0.000713,0.000713,0.000713
67,8773.91,1.16283,0.52199,0.00449,0.76961,0.48372,0.54287,0.30986,1.96264,2.14958,0.00924,0.0006932,0.0006932,0.0006932
68,8898.34,1.18596,0.55076,0.00453,0.74875,0.54651,0.58604,0.34265,1.84373,2.00195,0.00868,0.0006734,0.0006734,0.0006734
69,9031.33,1.17996,0.54983,0.00453,0.77406,0.52326,0.58661,0.3366,1.93627,1.96667,0.00914,0.0006536,0.0006536,0.0006536
70,9154.4,1.17325,0.52587,0.00452,0.77914,0.45814,0.54553,0.31692,1.91395,2.16603,0.00905,0.0006338,0.0006338,0.0006338
71,9280.42,1.16382,0.52934,0.00446,0.81011,0.51395,0.60813,0.35411,1.80946,1.82423,0.00853,0.000614,0.000614,0.000614
72,9419.36,1.15503,0.53124,0.00443,0.75944,0.44786,0.52108,0.29635,1.96985,2.2286,0.00937,0.0005942,0.0005942,0.0005942
73,9569.14,1.14007,0.50621,0.00431,0.72763,0.46977,0.53002,0.30318,1.96782,2.11342,0.00935,0.0005744,0.0005744,0.0005744
74,9719.57,1.13054,0.50443,0.00432,0.81017,0.4814,0.56385,0.32056,1.90188,2.00699,0.00902,0.0005546,0.0005546,0.0005546
75,9871.24,1.14033,0.51463,0.00436,0.68721,0.50465,0.54118,0.3067,2.00043,2.06962,0.00946,0.0005348,0.0005348,0.0005348
76,10023.1,1.14007,0.50209,0.00433,0.79868,0.48899,0.55626,0.3215,1.94368,2.01991,0.00927,0.000515,0.000515,0.000515
77,10173.6,1.12473,0.48349,0.00424,0.76469,0.4907,0.55727,0.32322,1.89069,2.10003,0.009,0.0004952,0.0004952,0.0004952
78,10322.9,1.10777,0.46788,0.00422,0.75525,0.48605,0.55558,0.32285,1.92692,2.14667,0.00924,0.0004754,0.0004754,0.0004754
79,10451.4,1.09267,0.49041,0.00418,0.74468,0.5093,0.57221,0.33683,1.90696,1.93602,0.00914,0.0004556,0.0004556,0.0004556
80,10575.4,1.11718,0.47533,0.00424,0.73418,0.51163,0.56543,0.32512,1.92627,1.98266,0.00912,0.0004358,0.0004358,0.0004358
81,10708.1,1.11889,0.46544,0.00423,0.72192,0.53734,0.57679,0.34284,1.84778,2.04045,0.00875,0.000416,0.000416,0.000416
82,10834.3,1.09216,0.47191,0.00417,0.68706,0.4907,0.53845,0.31292,1.90618,2.01356,0.00908,0.0003962,0.0003962,0.0003962
83,10959.4,1.10634,0.46826,0.00429,0.72443,0.47674,0.5319,0.31188,1.87185,2.14876,0.00896,0.0003764,0.0003764,0.0003764
84,11085.8,1.07432,0.44254,0.00408,0.66572,0.44924,0.50165,0.29463,1.88656,2.2406,0.00902,0.0003566,0.0003566,0.0003566
85,11213.1,1.0818,0.45345,0.00415,0.68123,0.46744,0.5167,0.30259,1.87742,2.21593,0.00893,0.0003368,0.0003368,0.0003368
86,11340.6,1.09023,0.45343,0.00413,0.70083,0.43584,0.50724,0.29712,1.96215,2.1857,0.00948,0.000317,0.000317,0.000317
87,11468.4,1.07431,0.47266,0.00407,0.70013,0.4941,0.55637,0.3293,1.90989,1.9988,0.00916,0.0002972,0.0002972,0.0002972
88,11595.7,1.08041,0.45461,0.0041,0.72579,0.49302,0.55818,0.33311,1.88977,2.06134,0.0091,0.0002774,0.0002774,0.0002774
89,11723.2,1.07135,0.43881,0.0041,0.71164,0.51395,0.57668,0.34055,1.89953,1.98051,0.00911,0.0002576,0.0002576,0.0002576
