epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2891.95,1.34396,0.66507,0.00516,0.7592,0.40465,0.48957,0.27621,1.78802,2.37895,0.00841,0.0011882,0.0011882,0.0011882
43,2952.56,1.35187,0.71811,0.00511,0.6176,0.38311,0.39123,0.21645,1.83101,2.66673,0.00865,0.0011684,0.0011684,0.0011684
44,3013.06,1.33827,0.67777,0.00514,0.70127,0.49134,0.52957,0.29617,1.70666,2.12156,0.00801,0.0011486,0.0011486,0.0011486
45,3073.89,1.32071,0.67459,0.00497,0.59254,0.5,0.50918,0.27069,1.82759,2.19086,0.00877,0.0011288,0.0011288,0.0011288
46,3134.74,1.34205,0.66902,0.00513,0.60923,0.46279,0.48242,0.29133,1.71897,2.40108,0.00808,0.001109,0.001109,0.001109
47,3195.59,1.33251,0.64735,0.00506,0.7871,0.4093,0.49981,0.27884,1.78991,2.2282,0.0085,0.0010892,0.0010892,0.0010892
48,3259.75,1.33477,0.6553,0.00503,0.65463,0.46047,0.48912,0.28435,1.80393,2.33948,0.00858,0.0010694,0.0010694,0.0010694
49,3322.95,1.33543,0.65048,0.00506,0.6885,0.38837,0.41886,0.24629,1.84768,2.6554,0.00887,0.0010496,0.0010496,0.0010496
50,3388.89,1.30007,0.62606,0.00485,0.63972,0.43256,0.47515,0.27266,1.82301,2.50144,0.00864,0.0010298,0.0010298,0.0010298
51,3463.33,1.29724,0.64199,0.0049,0.71636,0.37674,0.43987,0.25408,1.82658,2.73618,0.00875,0.00101,0.00101,0.00101
52,3537.39,1.30054,0.61278,0.00498,0.64719,0.39302,0.43094,0.23647,1.96613,2.57746,0.00944,0.0009902,0.0009902,0.0009902
53,3611.85,1.32522,0.66474,0.00502,0.66167,0.43023,0.46378,0.26357,1.83247,2.56471,0.00876,0.0009704,0.0009704,0.0009704
54,3688.83,1.29568,0.65033,0.00496,0.65548,0.44688,0.47542,0.26767,1.81535,2.6323,0.00867,0.0009506,0.0009506,0.0009506
55,3757.62,1.27892,0.61923,0.00486,0.59945,0.43953,0.45577,0.26636,1.82661,2.54832,0.00868,0.0009308,0.0009308,0.0009308
56,3822.6,1.28622,0.60458,0.00491,0.59496,0.44651,0.46628,0.27113,1.7763,2.42132,0.00845,0.000911,0.000911,0.000911
57,3888.8,1.2738,0.59016,0.00476,0.65181,0.42791,0.47239,0.262,1.84821,2.37754,0.00891,0.0008912,0.0008912,0.0008912
58,3955.86,1.28878,0.59394,0.00479,0.55139,0.41448,0.42137,0.23892,1.90701,2.51692,0.00906,0.0008714,0.0008714,0.0008714
59,4021.42,1.26917,0.59158,0.00479,0.61647,0.45116,0.47179,0.25772,1.84918,2.39666,0.00872,0.0008516,0.0008516,0.0008516
60,4091.37,1.27988,0.57873,0.0048,0.65652,0.45339,0.48851,0.28276,1.76688,2.23356,0.00831,0.0008318,0.0008318,0.0008318
61,4168.78,1.25373,0.59361,0.00474,0.76514,0.43942,0.51111,0.2894,1.79883,2.26122,0.00863,0.000812,0.000812,0.000812
62,4243.22,1.26384,0.57729,0.0048,0.60946,0.42093,0.45628,0.26764,1.72819,2.53495,0.00812,0.0007922,0.0007922,0.0007922
63,4317.95,1.2625,0.58674,0.00475,0.64016,0.45924,0.49024,0.28096,1.80289,2.51797,0.00849,0.0007724,0.0007724,0.0007724
64,4391.33,1.25334,0.57493,0.00471,0.63022,0.44392,0.49388,0.28419,1.76486,2.34261,0.00832,0.0007526,0.0007526,0.0007526
