epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26473.9,2.54472,0.8617,0.67349,0.08463,0.11176,0.04977,0.0172,2.7652,5.01309,0.57668,0.0014588,0.0014588,0.0014588
43,26569.1,2.50728,0.85482,0.66552,0.28243,0.08529,0.08118,0.03482,2.67555,4.3936,0.57823,0.0014456,0.0014456,0.0014456
44,26665.3,2.55735,0.86281,0.68077,0.20998,0.07353,0.03573,0.0098,2.89454,4.52049,0.60212,0.0014324,0.0014324,0.0014324
45,26760.5,2.53902,0.87208,0.68215,0.36173,0.06765,0.06459,0.02021,2.76946,4.77503,0.60936,0.0014192,0.0014192,0.0014192
46,26856.1,2.47455,0.87138,0.65662,0.09353,0.15294,0.03628,0.01148,2.88786,5.14768,0.60512,0.001406,0.001406,0.001406
47,26951.4,2.52025,0.84782,0.67955,0.05929,0.13235,0.01315,0.00384,2.8807,8.68557,0.60445,0.0013928,0.0013928,0.0013928
48,27046.9,2.48767,0.80793,0.66749,0.20312,0.11471,0.06938,0.02271,2.85764,5.12663,0.57994,0.0013796,0.0013796,0.0013796
49,27142.6,2.48851,0.83953,0.67262,0.6266,0.15294,0.16626,0.0479,2.92637,4.36958,0.62042,0.0013664,0.0013664,0.0013664
50,27237.1,2.42398,0.82014,0.67413,0.35896,0.13176,0.11366,0.02868,3.01569,4.19286,0.62943,0.0013532,0.0013532,0.0013532
51,27332.3,2.42605,0.79451,0.67297,0.3891,0.07941,0.07583,0.02373,2.84416,4.50831,0.59497,0.00134,0.00134,0.00134
52,27427.1,2.40827,0.81248,0.67162,0.44611,0.11371,0.11726,0.03652,2.73364,4.31142,0.59359,0.0013268,0.0013268,0.0013268
53,27522.2,2.50503,0.82498,0.67458,0.21008,0.14706,0.06408,0.01924,2.68632,4.56249,0.55727,0.0013136,0.0013136,0.0013136
54,27617.8,2.45877,0.81016,0.68073,0.16626,0.2,0.10857,0.02989,2.53637,3.83622,0.51912,0.0013004,0.0013004,0.0013004
55,27713.4,2.48506,0.80324,0.6793,0.42909,0.08529,0.07076,0.02346,2.70105,4.59189,0.55406,0.0012872,0.0012872,0.0012872
56,27808.9,2.4458,0.81064,0.67842,0.40825,0.11765,0.11393,0.03852,2.68191,4.13327,0.58733,0.001274,0.001274,0.001274
57,27903.9,2.38934,0.77771,0.66894,0.52463,0.12647,0.11383,0.02945,2.7115,3.72818,0.58801,0.0012608,0.0012608,0.0012608
58,27998.5,2.44369,0.82827,0.66496,0.2132,0.12353,0.07808,0.02273,2.60888,4.57239,0.55419,0.0012476,0.0012476,0.0012476
59,28093.5,2.47085,0.81744,0.6795,0.09686,0.10882,0.0361,0.01154,2.90204,5.04265,0.60267,0.0012344,0.0012344,0.0012344
60,28189.1,2.39327,0.79923,0.66739,0.21053,0.2,0.1143,0.031,2.6506,4.26616,0.571,0.0012212,0.0012212,0.0012212
61,28284.2,2.43526,0.8224,0.67802,0.15058,0.11471,0.05659,0.02102,2.58777,4.75167,0.54894,0.001208,0.001208,0.001208
62,28379.2,2.40869,0.79694,0.67165,0.19858,0.16471,0.10355,0.03488,2.63937,4.14522,0.55705,0.0011948,0.0011948,0.0011948
63,28474.2,2.41964,0.80193,0.67191,0.42475,0.15588,0.13426,0.04129,2.55796,3.96027,0.55755,0.0011816,0.0011816,0.0011816
64,28569.6,2.36203,0.77499,0.68242,0.59828,0.08529,0.08726,0.02733,2.46914,4.52171,0.54343,0.0011684,0.0011684,0.0011684
65,28665,2.4134,0.79689,0.68148,0.18884,0.12941,0.0679,0.02148,2.50039,4.22485,0.50931,0.0011552,0.0011552,0.0011552
66,28760.5,2.45316,0.81901,0.67591,0.15783,0.22048,0.09649,0.02824,2.7468,3.61551,0.57953,0.001142,0.001142,0.001142
67,28855.9,2.36178,0.79976,0.6684,0.7652,0.08529,0.09841,0.03347,2.51234,4.25853,0.52938,0.0011288,0.0011288,0.0011288
68,28951.2,2.43817,0.80738,0.68516,0.25283,0.19706,0.12653,0.04118,2.71286,3.98255,0.57825,0.0011156,0.0011156,0.0011156
69,29046.8,2.39209,0.80876,0.65543,0.47758,0.17353,0.18099,0.04834,2.76592,3.44448,0.58609,0.0011024,0.0011024,0.0011024
70,29141.8,2.3811,0.79557,0.66865,0.25455,0.20588,0.13689,0.04545,2.608,3.9273,0.5682,0.0010892,0.0010892,0.0010892
71,29237.6,2.40529,0.78664,0.66028,0.47816,0.17353,0.16446,0.04837,2.84632,3.2966,0.59603,0.001076,0.001076,0.001076
72,29332.1,2.35556,0.78673,0.66822,0.22917,0.16176,0.08848,0.02975,2.6184,4.19418,0.56447,0.0010628,0.0010628,0.0010628
73,29427.8,2.37938,0.78601,0.6718,0.18352,0.14412,0.08404,0.02684,2.68539,4.47541,0.58337,0.0010496,0.0010496,0.0010496
74,29523.1,2.41271,0.78582,0.67301,0.16143,0.21176,0.12404,0.03766,2.83509,3.8126,0.59346,0.0010364,0.0010364,0.0010364
75,29617.9,2.36687,0.76394,0.67583,0.24506,0.18235,0.11776,0.03326,2.74374,4.23555,0.59637,0.0010232,0.0010232,0.0010232
76,29713.1,2.33249,0.76027,0.67095,0.54276,0.15882,0.17842,0.05733,2.82874,3.66893,0.59929,0.00101,0.00101,0.00101
77,29808.7,2.37227,0.76369,0.67295,0.58455,0.13235,0.14717,0.04817,2.70733,4.0494,0.58879,0.0009968,0.0009968,0.0009968
78,29904.3,2.44331,0.78056,0.68258,0.16923,0.19412,0.10313,0.03277,2.72694,4.40255,0.59575,0.0009836,0.0009836,0.0009836
79,29999.8,2.31178,0.74745,0.66816,0.23848,0.25882,0.10278,0.02975,2.62476,4.3535,0.56775,0.0009704,0.0009704,0.0009704
80,30094.8,2.32057,0.7402,0.6758,0.20391,0.21471,0.08512,0.02821,2.47264,4.22281,0.55806,0.0009572,0.0009572,0.0009572
81,30189.9,2.30679,0.77094,0.66607,0.10345,0.04412,0.0236,0.00739,2.10679,4.71372,0.46459,0.000944,0.000944,0.000944
82,30284.8,2.30424,0.7469,0.66507,0.19437,0.22353,0.11062,0.03368,2.59642,3.89696,0.57675,0.0009308,0.0009308,0.0009308
83,30380,2.33354,0.74947,0.6562,0.1828,0.2,0.10333,0.03474,2.48111,4.18158,0.5491,0.0009176,0.0009176,0.0009176
84,30475.9,2.3106,0.77082,0.66558,0.15066,0.20294,0.09016,0.02686,2.80374,4.42356,0.61143,0.0009044,0.0009044,0.0009044
85,30571.5,2.30412,0.762,0.66468,0.33333,0.16176,0.10894,0.03686,2.64679,4.40613,0.57116,0.0008912,0.0008912,0.0008912
86,30666.4,2.29715,0.75618,0.66178,0.2809,0.07353,0.04944,0.01553,2.54825,4.91976,0.55371,0.000878,0.000878,0.000878
87,30761,2.25766,0.72172,0.65295,0.22321,0.14706,0.07611,0.02565,2.6684,4.51321,0.58028,0.0008648,0.0008648,0.0008648
88,30857,2.36825,0.75238,0.67843,0.29204,0.09706,0.06352,0.0184,2.48264,4.61882,0.53745,0.0008516,0.0008516,0.0008516
89,30952.4,2.29047,0.74762,0.65922,0.30952,0.19118,0.13224,0.04756,2.57978,4.10069,0.56264,0.0008384,0.0008384,0.0008384
90,31047.4,2.33332,0.76085,0.67202,0.21642,0.08529,0.05082,0.01797,2.30463,4.29884,0.48728,0.0008252,0.0008252,0.0008252
91,31142.7,2.36962,0.74773,0.67495,0.25128,0.14412,0.07911,0.02599,2.37701,3.93428,0.49223,0.000812,0.000812,0.000812
92,31237.5,2.28663,0.72436,0.67415,0.23045,0.16471,0.09856,0.03255,2.42028,4.14145,0.53222,0.0007988,0.0007988,0.0007988
93,31333.1,2.28558,0.73402,0.66176,0.20701,0.19118,0.12098,0.03488,2.48485,4.04574,0.55298,0.0007856,0.0007856,0.0007856
94,31428.3,2.28309,0.71688,0.66615,0.23897,0.19118,0.12101,0.04116,2.46423,3.75676,0.53372,0.0007724,0.0007724,0.0007724
95,31523.4,2.28746,0.72719,0.66891,0.23832,0.15,0.09466,0.03682,2.2028,4.07785,0.50189,0.0007592,0.0007592,0.0007592
96,31618.5,2.30127,0.74652,0.66891,0.21224,0.15294,0.10375,0.03891,2.33443,4.03414,0.51018,0.000746,0.000746,0.000746
97,31713.7,2.28578,0.73474,0.67363,0.25967,0.13824,0.0649,0.0225,2.54738,4.29899,0.54412,0.0007328,0.0007328,0.0007328
98,31808.8,2.26449,0.70967,0.67119,0.42822,0.17402,0.15005,0.05772,2.61154,3.68502,0.5729,0.0007196,0.0007196,0.0007196
99,31904.3,2.24106,0.72164,0.6667,0.40426,0.16765,0.11276,0.04017,2.56278,4.23297,0.53166,0.0007064,0.0007064,0.0007064
100,31999.7,2.26163,0.74075,0.67004,0.33654,0.20588,0.1492,0.05659,2.51476,3.92207,0.52964,0.0006932,0.0006932,0.0006932
101,32095.2,2.28247,0.7399,0.66294,0.28185,0.21471,0.14572,0.05699,2.36329,3.67293,0.51233,0.00068,0.00068,0.00068
102,32189.6,2.25281,0.72024,0.67218,0.27778,0.11765,0.07921,0.02324,2.38121,4.28494,0.50231,0.0006668,0.0006668,0.0006668
103,32285.1,2.27895,0.73333,0.66451,0.43409,0.16765,0.15074,0.05272,2.53016,3.64907,0.55331,0.0006536,0.0006536,0.0006536
104,32380.8,2.29749,0.72633,0.67644,0.21858,0.23529,0.15791,0.05117,2.53006,3.62639,0.56312,0.0006404,0.0006404,0.0006404
105,32475.8,2.25412,0.70477,0.67073,0.31163,0.19706,0.13113,0.04165,2.37355,3.83615,0.52539,0.0006272,0.0006272,0.0006272
106,32569.8,2.24663,0.71232,0.65655,0.26178,0.14706,0.08379,0.02553,2.37742,4.11618,0.50337,0.000614,0.000614,0.000614
107,32664.5,2.2301,0.7011,0.66946,0.57944,0.08529,0.09439,0.02969,2.2845,4.01084,0.50065,0.0006008,0.0006008,0.0006008
108,32760.7,2.27132,0.71837,0.66438,0.17273,0.16765,0.10608,0.03169,2.26742,3.84697,0.50688,0.0005876,0.0005876,0.0005876
109,32857.9,2.25691,0.70648,0.66069,0.42857,0.13235,0.09305,0.03295,2.24964,4.16114,0.5038,0.0005744,0.0005744,0.0005744
110,32954.7,2.2838,0.7063,0.66883,0.21348,0.11176,0.06442,0.02207,2.07628,3.95789,0.43382,0.0005612,0.0005612,0.0005612
111,33050.4,2.23086,0.71869,0.66036,0.1375,0.06471,0.02716,0.00735,2.22178,4.21816,0.43374,0.000548,0.000548,0.000548
