epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,10594.9,0.97387,0.44152,0.00319,0.95563,0.91871,0.96256,0.72808,0.93523,0.41109,0.00379,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,10671.4,0.96916,0.45626,0.00313,0.95589,0.91871,0.96178,0.72831,0.93397,0.41073,0.00378,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,10745.4,0.88312,0.34892,0.00338,0.95375,0.9206,0.96161,0.72831,0.93402,0.41295,0.00378,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,10817.7,0.87997,0.34358,0.0034,0.95138,0.92482,0.96179,0.72899,0.93396,0.41175,0.00378,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,10888.9,0.88796,0.35407,0.00337,0.94979,0.92967,0.96191,0.7293,0.93502,0.41088,0.00379,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,10960.8,0.87461,0.33022,0.00335,0.95022,0.931,0.96163,0.73008,0.93389,0.41196,0.00378,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,11033.2,0.86282,0.33824,0.00327,0.9481,0.93247,0.96138,0.72967,0.93509,0.40931,0.00378,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,11104.4,0.86596,0.34025,0.00336,0.95426,0.92628,0.96169,0.73031,0.93562,0.40542,0.00378,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,11175.4,0.86831,0.34221,0.00334,0.9528,0.92722,0.96123,0.73024,0.93355,0.41083,0.00377,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,11246.7,0.85359,0.33484,0.00325,0.95403,0.92628,0.9614,0.73008,0.93329,0.40879,0.00377,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,11318.8,0.85974,0.32612,0.00324,0.95399,0.92722,0.96172,0.73072,0.93391,0.40711,0.00378,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,11390.8,0.85147,0.323,0.00323,0.95118,0.93006,0.96175,0.7308,0.93326,0.40704,0.00378,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
