epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2457.92,1.40057,0.92638,0.00484,0.82521,0.81569,0.87647,0.57093,1.19801,0.75011,0.00507,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2537.03,1.41322,0.95202,0.00495,0.8412,0.78105,0.86395,0.57654,1.23986,0.81503,0.00519,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2618.03,1.44622,0.95179,0.00496,0.77155,0.81569,0.85448,0.5755,1.22043,0.85453,0.0051,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2699.15,1.43885,0.90455,0.00486,0.83766,0.83887,0.89613,0.60652,1.18902,0.69227,0.00497,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2779.14,1.41263,0.90248,0.00485,0.83534,0.80074,0.87901,0.59452,1.20597,0.79548,0.00503,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,2856.17,1.39378,0.87759,0.00483,0.85558,0.83081,0.88535,0.60482,1.16881,0.76287,0.00488,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,2931.41,1.41321,0.89188,0.00485,0.87549,0.81474,0.89942,0.59801,1.21905,0.69688,0.00506,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3010.57,1.34703,0.86777,0.00465,0.85037,0.83365,0.90596,0.62357,1.1475,0.69239,0.00484,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3089.17,1.35405,0.81318,0.00469,0.86576,0.83648,0.89591,0.61501,1.16774,0.73617,0.00487,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3167.82,1.35801,0.8393,0.0046,0.89181,0.81096,0.90443,0.60733,1.1782,0.68139,0.00495,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3247.44,1.36866,0.83873,0.00474,0.86491,0.81191,0.89565,0.59559,1.19028,0.72818,0.00493,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3327.68,1.3865,0.82316,0.00471,0.85215,0.82609,0.89843,0.61699,1.12032,0.70405,0.00468,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3403.33,1.37339,0.83732,0.00469,0.85997,0.82609,0.90141,0.61364,1.13199,0.71299,0.0047,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3478.46,1.38076,0.85044,0.00466,0.8765,0.85197,0.91313,0.6291,1.12937,0.63968,0.00467,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3554.09,1.35842,0.82409,0.0046,0.8876,0.84594,0.92001,0.6307,1.08576,0.64359,0.0045,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3628.4,1.33453,0.82178,0.00456,0.87345,0.84121,0.90892,0.62064,1.13383,0.66129,0.00475,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3702.81,1.36082,0.77052,0.00467,0.89396,0.8446,0.91904,0.64484,1.10447,0.64388,0.0046,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3777.26,1.34977,0.82194,0.00464,0.85247,0.84594,0.90152,0.63358,1.11622,0.64717,0.0046,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3852.57,1.3534,0.7863,0.00453,0.85943,0.84371,0.90925,0.62839,1.11786,0.6458,0.00466,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3927.74,1.34957,0.78524,0.00461,0.86112,0.862,0.92075,0.63805,1.10444,0.61383,0.00458,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4002.45,1.31216,0.75004,0.00445,0.89803,0.85539,0.92509,0.63319,1.12635,0.60629,0.00465,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4077.02,1.33503,0.767,0.00456,0.87785,0.85728,0.92462,0.64352,1.10183,0.60253,0.00455,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4151.11,1.30689,0.78386,0.00436,0.87529,0.86237,0.9185,0.65081,1.08423,0.60344,0.00447,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4226.42,1.30297,0.75739,0.00446,0.89685,0.84121,0.92794,0.6602,1.07411,0.59896,0.0044,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4301.45,1.29586,0.76217,0.00434,0.89404,0.84026,0.9214,0.6558,1.0525,0.61985,0.0044,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4376.11,1.30452,0.76169,0.00444,0.88843,0.86295,0.93204,0.65441,1.05775,0.59774,0.00439,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4451.03,1.28501,0.74002,0.00437,0.8659,0.86055,0.91852,0.64985,1.07495,0.60325,0.00446,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4525.37,1.2854,0.7412,0.00436,0.88653,0.87876,0.92471,0.6534,1.08078,0.64203,0.00446,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,4600.21,1.30259,0.75302,0.00443,0.85416,0.87051,0.91668,0.64513,1.10071,0.61688,0.00459,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4676.68,1.28586,0.73284,0.00437,0.87422,0.87146,0.92449,0.64663,1.07428,0.56882,0.00449,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4753.61,1.29342,0.73307,0.00437,0.90708,0.87051,0.93693,0.66388,1.04606,0.55574,0.00433,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4829.43,1.26864,0.69448,0.0043,0.90898,0.84955,0.93123,0.66075,1.05493,0.5608,0.00437,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,4904.02,1.28885,0.72151,0.0043,0.88553,0.8628,0.92658,0.65521,1.03484,0.57878,0.00429,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,4978.41,1.27624,0.70885,0.00434,0.90093,0.87996,0.93538,0.65772,1.04881,0.54384,0.00431,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5053.42,1.26918,0.71513,0.00423,0.90819,0.86957,0.93384,0.66953,1.05987,0.54734,0.00436,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5128.11,1.26694,0.72082,0.00429,0.89513,0.88563,0.93991,0.6668,1.04272,0.55165,0.00429,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5202.12,1.24955,0.69086,0.0042,0.89663,0.87713,0.9361,0.67243,1.01423,0.54947,0.00413,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5276.69,1.24592,0.69379,0.00416,0.89775,0.888,0.93786,0.6725,1.05026,0.52904,0.00434,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5350.47,1.24074,0.69156,0.00422,0.8848,0.88567,0.93113,0.65953,1.0548,0.55675,0.00436,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5425.02,1.25931,0.69978,0.00425,0.88656,0.86106,0.93147,0.67136,1.02219,0.57035,0.00414,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,5499.82,1.25224,0.67401,0.00418,0.89193,0.88147,0.93932,0.67509,1.03156,0.51833,0.00425,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,5574.67,1.22738,0.69153,0.0042,0.86005,0.89887,0.92902,0.67048,1.02358,0.53975,0.00423,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,5649.53,1.24558,0.68235,0.00409,0.88159,0.89414,0.93637,0.67536,1.02122,0.53686,0.00419,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,5728.97,1.21931,0.6519,0.0041,0.91449,0.87429,0.9433,0.67634,1.0267,0.52618,0.00423,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,5808.68,1.22175,0.64265,0.00408,0.90245,0.90065,0.94382,0.68374,1.01339,0.51773,0.00416,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5888.96,1.21234,0.63677,0.004,0.88922,0.9017,0.93808,0.67732,1.00842,0.52302,0.00415,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,5968.72,1.22088,0.65149,0.00412,0.89612,0.88059,0.93819,0.68182,1.00145,0.52994,0.00411,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,6048.54,1.22948,0.65105,0.00406,0.88319,0.88563,0.93833,0.68259,1.00266,0.51555,0.00414,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,6128.8,1.21474,0.63851,0.00403,0.91071,0.87722,0.93892,0.68116,1.00838,0.50699,0.00416,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,6210.14,1.20491,0.62959,0.00404,0.9278,0.88662,0.944,0.68493,1.00368,0.49652,0.00413,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,6287.59,1.20049,0.62186,0.00403,0.91391,0.87618,0.94164,0.68454,0.99377,0.50385,0.00412,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,6363.16,1.20504,0.599,0.00401,0.92349,0.88992,0.95258,0.69447,0.97902,0.49531,0.00401,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,6441.4,1.21879,0.63825,0.0041,0.93176,0.9034,0.94962,0.70463,0.98255,0.47709,0.00402,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
